turbostat version 18.07.27 - Len Brown <lenb@kernel.org>
CPUID(0): GenuineIntel 0xd CPUID levels; 0x80000008 xlevels; family:model:stepping 0x6:3a:9 (6:58:9)
CPUID(1): SSE3 MONITOR SMX EIST TM2 TSC MSR ACPI-TM HT TM
CPUID(6): APERF, TURBO, DTS, PTM, No-HWP, No-HWPnotify, No-HWPwindow, No-HWPepp, No-HWPpkg, EPB
cpu7: MSR_IA32_MISC_ENABLE: 0x00850089 (TCC EIST MWAIT PREFETCH TURBO)
CPUID(7): No-SGX
cpu7: MSR_MISC_PWR_MGMT: 0x00400000 (ENable-EIST_Coordination DISable-EPB DISable-OOB)
RAPL: 1456 sec. Joule Counter Range, at 45 Watts
cpu7: MSR_PLATFORM_INFO: 0x80c10f0011b00
12 * 100.0 = 1200.0 MHz max efficiency frequency
27 * 100.0 = 2700.0 MHz base frequency
cpu7: MSR_IA32_POWER_CTL: 0x0014005d (C1E auto-promotion: DISabled)
cpu7: MSR_TURBO_RATIO_LIMIT: 0x23232425
35 * 100.0 = 3500.0 MHz max turbo 4 active cores
35 * 100.0 = 3500.0 MHz max turbo 3 active cores
36 * 100.0 = 3600.0 MHz max turbo 2 active cores
37 * 100.0 = 3700.0 MHz max turbo 1 active cores
cpu7: MSR_CONFIG_TDP_NOMINAL: 0x0000001b (base_ratio=27)
cpu7: MSR_CONFIG_TDP_LEVEL_1: 0x120000000000000 (PKG_MIN_PWR_LVL1=288 PKG_MAX_PWR_LVL1=0 LVL1_RATIO=0 PKG_TDP_LVL1=0)
cpu7: MSR_CONFIG_TDP_LEVEL_2: 0x120000000000000 (PKG_MIN_PWR_LVL2=288 PKG_MAX_PWR_LVL2=0 LVL2_RATIO=0 PKG_TDP_LVL2=0)
cpu7: MSR_CONFIG_TDP_CONTROL: 0x80000000 ( lock=1)
cpu7: MSR_TURBO_ACTIVATION_RATIO: 0x00000000 (MAX_NON_TURBO_RATIO=0 lock=0)
cpu7: MSR_PKG_CST_CONFIG_CONTROL: 0x1e008404 (UNdemote-C3, UNdemote-C1, demote-C3, demote-C1, locked, pkg-cstate-limit=4 (pc7))
cpu7: POLL: CPUIDLE CORE POLL IDLE
cpu7: C1: MWAIT 0x00
cpu7: C1E: MWAIT 0x01
cpu7: C3: MWAIT 0x10
cpu7: C6: MWAIT 0x20
cpu7: C7: MWAIT 0x30
cpu7: cpufreq driver: intel_pstate
cpu7: cpufreq governor: performance
cpufreq intel_pstate no_turbo: 0
cpu7: MSR_MISC_FEATURE_CONTROL: 0x00000000 (L2-Prefetch L2-Prefetch-pair L1-Prefetch L1-IP-Prefetch)
cpu0: MSR_IA32_ENERGY_PERF_BIAS: 0x00000006 (balanced)
cpu0: MSR_RAPL_POWER_UNIT: 0x000a1003 (0.125000 Watts, 0.000015 Joules, 0.000977 sec.)
cpu0: MSR_PKG_POWER_INFO: 0x01200168 (45 W TDP, RAPL 36 - 0 W, 0.000000 sec.)
cpu0: MSR_PKG_POWER_LIMIT: 0x800081c200dc8168 (locked)
cpu0: PKG Limit #1: ENabled (45.000000 Watts, 28.000000 sec, clamp DISabled)
cpu0: PKG Limit #2: ENabled (56.250000 Watts, 0.000977* sec, clamp DISabled)
cpu0: MSR_PP0_POLICY: 0
cpu0: MSR_PP0_POWER_LIMIT: 0x00000000 (UNlocked)
cpu0: Cores Limit: DISabled (0.000000 Watts, 0.000977 sec, clamp DISabled)
cpu0: MSR_PP1_POLICY: 0
cpu0: MSR_PP1_POWER_LIMIT: 0x00000000 (UNlocked)
cpu0: GFX Limit: DISabled (0.000000 Watts, 0.000977 sec, clamp DISabled)
cpu0: MSR_IA32_TEMPERATURE_TARGET: 0x00691200 (105 C)
cpu0: MSR_IA32_PACKAGE_THERM_STATUS: 0x88320108 (55 C)
cpu0: MSR_IA32_PACKAGE_THERM_INTERRUPT: 0x00c1ad00 (40 C, 60 C)
cpu7: MSR_PKGC3_IRTL: 0x0000883b (valid, 60416 ns)
cpu7: MSR_PKGC6_IRTL: 0x00008850 (valid, 81920 ns)
cpu7: MSR_PKGC7_IRTL: 0x00008857 (valid, 89088 ns)
Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IRQ	SMI	POLL	C1	C1E	C3	C6	C7	POLL%	C1%	C1E%	C3%	C6%	C7%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	PkgTmp	GFX%rc6	GFXMHz	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	PkgWatt	CorWatt	GFXWatt
62	1.86	3330	2689	436	16	0	182	29	15	0	712	0.00	1.77	0.19	0.07	0.00	96.06	5.07	0.47	0.00	92.60	63	63	32.03	350	1.25	0.54	1.54	50.35	6.22	2.72	0.18
474	12.87	3691	2692	398	8	0	0	2	1	0	202	0.00	0.00	0.00	0.01	0.00	87.14	12.93	0.02	0.00	74.18	68	69	0.00	350	0.00	0.00	0.00	0.00	18.22	14.39	0.00
464	12.60	3696	2691	514	8	0	1	21	14	0	304	0.00	0.00	0.08	0.03	0.00	87.26	12.98	0.33	0.00	74.08	69	69	0.00	350	0.00	0.00	0.00	0.00	18.18	14.36	0.00
463	12.57	3696	2691	485	0	0	0	1	3	0	275	0.00	0.00	0.00	0.03	0.00	87.37	12.74	0.05	0.00	74.64	70	70	0.00	350	0.00	0.00	0.00	0.00	18.18	14.35	0.00
464	12.59	3696	2691	448	8	0	3	18	6	0	256	0.00	0.01	0.03	0.04	0.00	87.32	12.91	0.30	0.00	74.20	70	70	0.00	350	0.00	0.00	0.00	0.00	18.21	14.38	0.00
462	12.54	3698	2691	383	0	0	3	0	2	0	158	0.00	0.04	0.00	0.01	0.00	87.39	12.73	0.01	0.00	74.72	70	71	0.00	350	0.00	0.00	0.00	0.00	18.22	14.39	0.00
465	12.61	3696	2691	466	16	0	0	25	8	0	275	0.00	0.00	0.09	0.01	0.00	87.30	12.93	0.37	0.00	74.09	70	71	0.00	350	0.00	0.00	0.00	0.00	18.27	14.43	0.00
464	12.60	3696	2691	492	0	0	0	1	4	0	303	0.00	0.00	0.00	0.02	0.00	87.34	12.72	0.01	0.00	74.68	70	70	0.00	500	0.00	0.00	0.00	0.00	18.24	14.39	0.02
465	12.64	3695	2691	487	8	0	0	23	12	0	308	0.00	0.00	0.08	0.05	0.00	87.20	12.95	0.31	0.00	74.11	70	71	16.04	350	0.00	0.00	0.00	0.00	18.47	14.41	0.21
462	12.53	3699	2691	385	0	0	0	1	2	0	165	0.00	0.00	0.00	0.00	0.00	87.44	12.66	0.01	0.00	74.80	71	71	0.00	350	0.00	0.00	0.00	0.00	18.23	14.39	0.00
464	12.59	3696	2691	503	8	0	3	18	7	0	309	0.00	0.01	0.03	0.04	0.00	87.30	12.95	0.30	0.00	74.17	71	71	0.00	350	0.00	0.00	0.00	0.00	18.30	14.45	0.00
462	12.54	3698	2691	416	0	0	0	1	1	0	199	0.00	0.00	0.01	0.00	0.00	87.42	12.71	0.01	0.00	74.75	70	71	0.00	350	0.00	0.00	0.00	0.00	18.27	14.43	0.00
464	12.60	3696	2691	444	8	0	4	27	3	0	248	0.00	0.01	0.04	0.04	0.00	87.29	12.96	0.25	0.00	74.18	71	72	0.00	350	0.00	0.00	0.00	0.00	18.31	14.47	0.00
462	12.54	3698	2691	388	0	0	0	2	0	0	171	0.00	0.00	0.00	0.00	0.00	87.44	12.66	0.00	0.00	74.80	72	72	0.00	350	0.00	0.00	0.00	0.00	18.29	14.44	0.00
464	12.58	3696	2691	450	8	0	5	13	9	0	260	0.00	0.01	0.05	0.01	0.00	87.32	12.98	0.28	0.00	74.15	73	72	0.00	350	0.00	0.00	0.00	0.00	18.33	14.49	0.00
462	12.53	3698	2691	369	0	0	0	0	0	0	146	0.00	0.00	0.00	0.00	0.00	87.45	12.63	0.00	0.00	74.84	72	73	0.00	350	0.00	0.00	0.00	0.00	18.28	14.44	0.00
463	12.58	3696	2691	451	8	0	2	20	10	0	253	0.00	0.00	0.07	0.05	0.00	87.28	12.88	0.32	0.00	74.21	72	73	0.00	350	0.00	0.00	0.00	0.00	18.35	14.49	0.00
462	12.54	3698	2691	440	0	0	0	1	0	0	217	0.00	0.00	0.01	0.00	0.00	87.43	12.70	0.00	0.00	74.77	73	72	0.00	350	0.00	0.00	0.00	0.00	18.32	14.47	0.00
464	12.59	3696	2691	474	8	0	0	24	6	0	280	0.00	0.00	0.13	0.01	0.00	87.25	13.01	0.25	0.00	74.15	73	73	0.00	350	0.00	0.00	0.00	0.00	18.40	14.54	0.00
464	12.61	3696	2691	466	0	0	0	1	1	0	281	0.00	0.00	0.00	0.01	0.00	87.34	12.70	0.01	0.00	74.68	72	73	0.00	400	0.00	0.00	0.00	0.00	18.44	14.49	0.09
466	12.71	3695	2679	487	16	0	1	17	6	0	317	0.00	0.00	0.04	0.02	0.00	86.84	12.83	0.44	0.00	74.01	73	73	15.85	350	0.00	0.00	0.00	0.00	18.50	14.35	0.33
