turbostat version 18.07.27 - Len Brown <lenb@kernel.org>
CPUID(0): GenuineIntel 0xd CPUID levels; 0x80000008 xlevels; family:model:stepping 0x6:3a:9 (6:58:9)
CPUID(1): SSE3 MONITOR SMX EIST TM2 TSC MSR ACPI-TM HT TM
CPUID(6): APERF, TURBO, DTS, PTM, No-HWP, No-HWPnotify, No-HWPwindow, No-HWPepp, No-HWPpkg, EPB
cpu1: MSR_IA32_MISC_ENABLE: 0x00850089 (TCC EIST MWAIT PREFETCH TURBO)
CPUID(7): No-SGX
cpu1: MSR_MISC_PWR_MGMT: 0x00400000 (ENable-EIST_Coordination DISable-EPB DISable-OOB)
RAPL: 1456 sec. Joule Counter Range, at 45 Watts
cpu1: MSR_PLATFORM_INFO: 0x80c10f0011b00
12 * 100.0 = 1200.0 MHz max efficiency frequency
27 * 100.0 = 2700.0 MHz base frequency
cpu1: MSR_IA32_POWER_CTL: 0x0014005d (C1E auto-promotion: DISabled)
cpu1: MSR_TURBO_RATIO_LIMIT: 0x23232425
35 * 100.0 = 3500.0 MHz max turbo 4 active cores
35 * 100.0 = 3500.0 MHz max turbo 3 active cores
36 * 100.0 = 3600.0 MHz max turbo 2 active cores
37 * 100.0 = 3700.0 MHz max turbo 1 active cores
cpu1: MSR_CONFIG_TDP_NOMINAL: 0x0000001b (base_ratio=27)
cpu1: MSR_CONFIG_TDP_LEVEL_1: 0x120000000000000 (PKG_MIN_PWR_LVL1=288 PKG_MAX_PWR_LVL1=0 LVL1_RATIO=0 PKG_TDP_LVL1=0)
cpu1: MSR_CONFIG_TDP_LEVEL_2: 0x120000000000000 (PKG_MIN_PWR_LVL2=288 PKG_MAX_PWR_LVL2=0 LVL2_RATIO=0 PKG_TDP_LVL2=0)
cpu1: MSR_CONFIG_TDP_CONTROL: 0x80000000 ( lock=1)
cpu1: MSR_TURBO_ACTIVATION_RATIO: 0x00000000 (MAX_NON_TURBO_RATIO=0 lock=0)
cpu1: MSR_PKG_CST_CONFIG_CONTROL: 0x1e008404 (UNdemote-C3, UNdemote-C1, demote-C3, demote-C1, locked, pkg-cstate-limit=4 (pc7))
cpu1: POLL: CPUIDLE CORE POLL IDLE
cpu1: C1: MWAIT 0x00
cpu1: C1E: MWAIT 0x01
cpu1: C3: MWAIT 0x10
cpu1: C6: MWAIT 0x20
cpu1: C7: MWAIT 0x30
cpu1: cpufreq driver: intel_pstate
cpu1: cpufreq governor: performance
cpufreq intel_pstate no_turbo: 0
cpu1: MSR_MISC_FEATURE_CONTROL: 0x00000000 (L2-Prefetch L2-Prefetch-pair L1-Prefetch L1-IP-Prefetch)
cpu0: MSR_IA32_ENERGY_PERF_BIAS: 0x00000006 (balanced)
cpu0: MSR_RAPL_POWER_UNIT: 0x000a1003 (0.125000 Watts, 0.000015 Joules, 0.000977 sec.)
cpu0: MSR_PKG_POWER_INFO: 0x01200168 (45 W TDP, RAPL 36 - 0 W, 0.000000 sec.)
cpu0: MSR_PKG_POWER_LIMIT: 0x800081c200dc8168 (locked)
cpu0: PKG Limit #1: ENabled (45.000000 Watts, 28.000000 sec, clamp DISabled)
cpu0: PKG Limit #2: ENabled (56.250000 Watts, 0.000977* sec, clamp DISabled)
cpu0: MSR_PP0_POLICY: 0
cpu0: MSR_PP0_POWER_LIMIT: 0x00000000 (UNlocked)
cpu0: Cores Limit: DISabled (0.000000 Watts, 0.000977 sec, clamp DISabled)
cpu0: MSR_PP1_POLICY: 0
cpu0: MSR_PP1_POWER_LIMIT: 0x00000000 (UNlocked)
cpu0: GFX Limit: DISabled (0.000000 Watts, 0.000977 sec, clamp DISabled)
cpu0: MSR_IA32_TEMPERATURE_TARGET: 0x00691200 (105 C)
cpu0: MSR_IA32_PACKAGE_THERM_STATUS: 0x88310108 (56 C)
cpu0: MSR_IA32_PACKAGE_THERM_INTERRUPT: 0x00c1ad00 (40 C, 60 C)
cpu1: MSR_PKGC3_IRTL: 0x0000883b (valid, 60416 ns)
cpu1: MSR_PKGC6_IRTL: 0x00008850 (valid, 81920 ns)
cpu1: MSR_PKGC7_IRTL: 0x00008857 (valid, 89088 ns)
Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IRQ	SMI	POLL	C1	C1E	C3	C6	C7	POLL%	C1%	C1E%	C3%	C6%	C7%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	PkgTmp	GFX%rc6	GFXMHz	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	PkgWatt	CorWatt	GFXWatt
29	0.92	3109	2691	333	8	0	648	60	15	0	522	0.00	1.73	0.10	0.05	0.00	97.20	3.14	0.26	0.00	95.68	57	57	0.00	600	1.30	0.81	1.53	88.72	4.16	1.18	0.01
11	0.40	2838	2691	244	0	0	35	14	11	0	291	0.00	0.11	0.05	0.05	0.00	99.39	0.68	0.08	0.00	98.84	55	53	32.12	350	0.46	0.14	0.50	65.39	4.37	0.97	0.20
153	4.58	3422	2635	311	21	0	3	46	14	0	399	0.00	0.00	0.10	0.03	0.00	93.30	2.64	0.04	0.00	92.74	72	68	0.00	350	1.37	0.00	1.61	84.71	4.89	2.03	0.00
1753	50.15	3500	2696	1505	11	0	1	12	3	0	405	0.00	0.00	0.10	0.01	0.00	49.86	47.88	0.00	0.00	1.98	81	80	0.00	350	0.00	0.00	0.00	0.00	38.58	34.64	0.00
1770	50.03	3500	2730	1539	8	0	3	21	14	0	411	0.00	0.01	0.08	0.01	0.00	50.59	49.11	0.00	0.00	0.86	83	82	0.00	350	0.00	0.00	0.00	0.00	39.83	35.80	0.00
1729	50.04	3500	2666	1391	0	0	0	1	0	0	334	0.00	0.00	0.01	0.00	0.00	49.48	49.96	0.00	0.00	0.00	83	82	0.00	350	0.00	0.00	0.00	0.00	38.36	34.50	0.00
1670	50.21	3348	2682	1566	8	0	4	3	5	0	469	0.00	0.01	0.03	0.00	0.00	49.57	48.83	0.00	0.00	0.96	75	75	0.00	350	0.00	0.00	0.00	0.00	35.64	31.72	0.00
1454	50.04	2900	2704	1428	0	0	0	0	0	0	360	0.00	0.00	0.00	0.00	0.00	50.20	47.75	0.00	0.00	2.20	73	73	0.00	350	0.00	0.00	0.00	0.00	25.73	21.83	0.00
1443	50.11	2900	2682	1532	8	0	4	7	9	0	399	0.00	0.01	0.03	0.01	0.00	49.67	47.97	0.00	0.00	1.92	72	72	0.00	350	0.00	0.00	0.00	0.00	25.71	21.82	0.00
1448	50.06	2900	2694	1427	0	0	0	1	0	0	376	0.00	0.00	0.00	0.00	0.00	49.99	47.45	0.00	0.00	2.49	71	71	0.00	350	0.00	0.00	0.00	0.00	25.75	21.84	0.00
1462	50.08	2900	2719	1523	8	0	3	7	6	0	426	0.00	0.00	0.03	0.01	0.00	50.39	49.92	0.00	0.00	0.00	71	71	0.00	350	0.00	0.00	0.00	0.00	26.29	22.35	0.00
1447	50.07	2900	2691	1423	8	0	0	1	3	0	362	0.00	0.00	0.01	0.06	0.00	49.88	49.93	0.00	0.00	0.00	72	72	0.00	350	0.00	0.00	0.00	0.00	25.95	22.06	0.00
1437	50.21	2900	2664	1529	8	0	4	5	7	0	428	0.00	0.01	0.03	0.01	0.00	49.25	49.79	0.00	0.00	0.00	72	72	0.00	350	0.00	0.00	0.00	0.00	25.70	21.85	0.00
1447	50.44	2900	2671	1436	0	0	0	0	1	0	386	0.00	0.00	0.00	0.00	0.00	49.18	49.56	0.00	0.00	0.00	73	72	0.00	350	0.00	0.00	0.00	0.00	25.32	21.53	0.00
1462	49.64	2900	2741	1604	8	0	3	6	7	0	431	0.00	0.05	0.03	0.00	0.00	51.21	49.79	0.00	0.00	0.57	72	72	0.00	350	0.00	0.00	0.00	0.00	26.95	22.90	0.00
1438	50.05	2900	2676	1407	0	0	0	0	0	0	361	0.00	0.00	0.00	0.00	0.00	49.66	49.95	0.00	0.00	0.00	72	72	0.00	350	0.00	0.00	0.00	0.00	25.78	21.92	0.00
1446	50.27	2900	2678	1533	8	0	3	6	7	0	421	0.00	0.01	0.03	0.01	0.00	49.44	48.96	0.00	0.00	0.77	72	72	0.00	350	0.00	0.00	0.00	0.00	25.81	21.93	0.00
1450	50.06	2900	2696	1418	0	0	0	1	0	0	375	0.00	0.00	0.02	0.00	0.00	50.02	47.30	0.00	0.00	2.64	73	72	0.00	350	0.00	0.00	0.00	0.00	25.62	21.73	0.00
1457	49.98	2900	2715	1531	8	0	4	3	8	0	403	0.00	0.03	0.00	0.01	0.00	50.42	48.19	0.00	0.00	1.83	72	72	0.00	350	0.00	0.00	0.00	0.00	26.07	22.13	0.00
1449	50.16	2900	2690	1450	0	0	0	5	8	0	405	0.00	0.00	0.01	0.03	0.00	49.78	49.84	0.00	0.00	0.00	72	73	0.00	350	0.00	0.00	0.00	0.00	26.02	22.13	0.00
1447	50.23	2900	2682	1470	8	0	0	2	2	0	402	0.00	0.00	0.02	0.01	0.00	49.58	49.77	0.00	0.00	0.00	73	72	0.00	350	0.00	0.00	0.00	0.00	25.88	22.00	0.00
1440	49.99	2900	2681	1428	0	0	0	1	0	0	361	0.00	0.00	0.00	0.00	0.00	49.82	47.40	0.00	0.00	2.61	72	72	0.00	350	0.00	0.00	0.00	0.00	25.48	21.62	0.00
1458	50.24	2900	2701	1521	8	0	2	7	7	0	400	0.00	0.01	0.07	0.01	0.00	49.87	48.32	0.00	0.00	1.45	72	72	0.00	350	0.00	0.00	0.00	0.00	26.00	22.08	0.00
1447	49.88	2900	2700	1417	0	0	7	0	1	0	346	0.00	0.31	0.00	0.02	0.00	49.96	49.74	0.00	0.00	0.38	72	72	0.00	350	0.00	0.00	0.00	0.00	26.03	22.12	0.00
